MSSV,Họ Tên,Email
"22110001","Trần Đức Hải","22110001@student.hcmute.edu.vn"
"22110002","Lê Ngọc Long","22110002@student.hcmute.edu.vn"
"22110003","Phạm Hoàng Phúc","22110003@student.hcmute.edu.vn"
"22110004","Hoàng Quang Tiến","22110004@student.hcmute.edu.vn"
"22110005","Phan Thành Vinh","22110005@student.hcmute.edu.vn"
"22110006","Vũ Hữu Cường","22110006@student.hcmute.edu.vn"
"22110007","Võ Thanh Hoàng","22110007@student.hcmute.edu.vn"
"22110008","Đặng Minh Nam","22110008@student.hcmute.edu.vn"
"22110009","Bùi Trọng Quang","22110009@student.hcmute.edu.vn"
"22110010","Đỗ Tuấn Trí","22110010@student.hcmute.edu.vn"
"22110011","Hồ Thị Việt","22110011@student.hcmute.edu.vn"
"22110012","Ngô Quốc Đạt","22110012@student.hcmute.edu.vn"
"22110013","Dương Đình Huy","22110013@student.hcmute.edu.vn"
"22110014","Lý Gia Nhân","22110014@student.hcmute.edu.vn"
"22110015","Huỳnh Bảo Thắng","22110015@student.hcmute.edu.vn"
"22110016","Đoàn Văn Tú","22110016@student.hcmute.edu.vn"
"22110017","Nguyễn Đức Tài","22110017@student.hcmute.edu.vn"
"22110018","Trần Ngọc Hà","22110018@student.hcmute.edu.vn"
"22110019","Lê Hoàng Kiệt","22110019@student.hcmute.edu.vn"
"22110020","Phạm Quang Phong","22110020@student.hcmute.edu.vn"
"22110021","Hoàng Thành Thuận","22110021@student.hcmute.edu.vn"
"22110022","Phan Hữu Tùng","22110022@student.hcmute.edu.vn"
"22110023","Vũ Thanh Bình","22110023@student.hcmute.edu.vn"
"22110024","Võ Minh Hiếu","22110024@student.hcmute.edu.vn"
"22110025","Đặng Trọng Minh","22110025@student.hcmute.edu.vn"
"22110026","Bùi Tuấn Quân","22110026@student.hcmute.edu.vn"
"22110027","Đỗ Thị Toàn","22110027@student.hcmute.edu.vn"
"22110028","Hồ Quốc Vũ","22110028@student.hcmute.edu.vn"
"22110029","Ngô Đình Dũng","22110029@student.hcmute.edu.vn"
"22110030","Dương Gia Hùng","22110030@student.hcmute.edu.vn"
"22110031","Lý Bảo Nghĩa","22110031@student.hcmute.edu.vn"
"22110032","Huỳnh Văn Sơn","22110032@student.hcmute.edu.vn"
"22110033","Đoàn Đức Trung","22110033@student.hcmute.edu.vn"
"22110034","Nguyễn Ngọc Khang","22110034@student.hcmute.edu.vn"
"22110035","Trần Hoàng Giang","22110035@student.hcmute.edu.vn"
"22110036","Lê Quang Khoa","22110036@student.hcmute.edu.vn"
"22110037","Phạm Thành Phát","22110037@student.hcmute.edu.vn"
"22110038","Hoàng Hữu Thịnh","22110038@student.hcmute.edu.vn"
"22110039","Phan Thanh Tuấn","22110039@student.hcmute.edu.vn"
"22110040","Vũ Minh An","22110040@student.hcmute.edu.vn"
