MSSV,Họ Tên,Email
"21110001","Trần Đức Hòa","sv21110001@student.university.edu.vn"
"21110002","Lê Quốc Minh","sv21110002@student.university.edu.vn"
"21110003","Phạm Ngọc Quang","sv21110003@student.university.edu.vn"
"21110004","Hoàng Tuấn Thuận","sv21110004@student.university.edu.vn"
"21110005","Huỳnh Khánh Tùng","sv21110005@student.university.edu.vn"
"21110006","Phan Bảo Cường","sv21110006@student.university.edu.vn"
"21110007","Vũ Thị Huy","sv21110007@student.university.edu.vn"
"21110008","Võ Thanh Nghĩa","sv21110008@student.university.edu.vn"
"21110009","Đặng Gia Sơn","sv21110009@student.university.edu.vn"
"21110010","Bùi Xuân Toàn","sv21110010@student.university.edu.vn"
"21110011","Đỗ Hoàng Vũ","sv21110011@student.university.edu.vn"
"21110012","Hồ Anh Đạt","sv21110012@student.university.edu.vn"
"21110013","Ngô Kim Kiệt","sv21110013@student.university.edu.vn"
"21110014","Dương Hữu Phong","sv21110014@student.university.edu.vn"
"21110015","Lý Minh Tâm","sv21110015@student.university.edu.vn"
"21110016","Đinh Thành Trung","sv21110016@student.university.edu.vn"
"21110017","Đoàn Hải Yên","sv21110017@student.university.edu.vn"
"21110018","Lâm Phương Hiếu","sv21110018@student.university.edu.vn"
"21110019","Trịnh Đình Long","sv21110019@student.university.edu.vn"
"21110020","Nguyễn Văn Quân","sv21110020@student.university.edu.vn"
"21110021","Trần Đức Thịnh","sv21110021@student.university.edu.vn"
"21110022","Lê Quốc Tuấn","sv21110022@student.university.edu.vn"
"21110023","Phạm Ngọc Bình","sv21110023@student.university.edu.vn"
"21110024","Hoàng Tuấn Hùng","sv21110024@student.university.edu.vn"
"21110025","Huỳnh Khánh Nam","sv21110025@student.university.edu.vn"
"21110026","Phan Bảo Sang","sv21110026@student.university.edu.vn"
"21110027","Vũ Thị Tiến","sv21110027@student.university.edu.vn"
"21110028","Võ Thanh Vinh","sv21110028@student.university.edu.vn"
"21110029","Đặng Gia Dũng","sv21110029@student.university.edu.vn"
"21110030","Bùi Xuân Khoa","sv21110030@student.university.edu.vn"
"21110031","Đỗ Hoàng Nhân","sv21110031@student.university.edu.vn"
"21110032","Hồ Anh Tài","sv21110032@student.university.edu.vn"
"21110033","Ngô Kim Trí","sv21110033@student.university.edu.vn"
"21110034","Dương Hữu Vy","sv21110034@student.university.edu.vn"
"21110035","Lý Minh Hải","sv21110035@student.university.edu.vn"
"21110036","Đinh Thành Linh","sv21110036@student.university.edu.vn"
"21110037","Đoàn Hải Phúc","sv21110037@student.university.edu.vn"
"21110038","Lâm Phương Thắng","sv21110038@student.university.edu.vn"
"21110039","Trịnh Đình Tú","sv21110039@student.university.edu.vn"
"21110040","Nguyễn Văn An","sv21110040@student.university.edu.vn"
"21110041","Trần Đức Hòa","sv21110041@student.university.edu.vn"
"21110042","Lê Quốc Minh","sv21110042@student.university.edu.vn"
"21110043","Phạm Ngọc Quang","sv21110043@student.university.edu.vn"
"21110044","Hoàng Tuấn Thuận","sv21110044@student.university.edu.vn"
"21110045","Huỳnh Khánh Tùng","sv21110045@student.university.edu.vn"
"21110046","Phan Bảo Cường","sv21110046@student.university.edu.vn"
"21110047","Vũ Thị Huy","sv21110047@student.university.edu.vn"
"21110048","Võ Thanh Nghĩa","sv21110048@student.university.edu.vn"
"21110049","Đặng Gia Sơn","sv21110049@student.university.edu.vn"
"21110050","Bùi Xuân Toàn","sv21110050@student.university.edu.vn"
"21110051","Đỗ Hoàng Vũ","sv21110051@student.university.edu.vn"
"21110052","Hồ Anh Đạt","sv21110052@student.university.edu.vn"
"21110053","Ngô Kim Kiệt","sv21110053@student.university.edu.vn"
"21110054","Dương Hữu Phong","sv21110054@student.university.edu.vn"
"21110055","Lý Minh Tâm","sv21110055@student.university.edu.vn"
"21110056","Đinh Thành Trung","sv21110056@student.university.edu.vn"
"21110057","Đoàn Hải Yên","sv21110057@student.university.edu.vn"
"21110058","Lâm Phương Hiếu","sv21110058@student.university.edu.vn"
"21110059","Trịnh Đình Long","sv21110059@student.university.edu.vn"
"21110060","Nguyễn Văn Quân","sv21110060@student.university.edu.vn"
"21110061","Trần Đức Thịnh","sv21110061@student.university.edu.vn"
"21110062","Lê Quốc Tuấn","sv21110062@student.university.edu.vn"
"21110063","Phạm Ngọc Bình","sv21110063@student.university.edu.vn"
"21110064","Hoàng Tuấn Hùng","sv21110064@student.university.edu.vn"
"21110065","Huỳnh Khánh Nam","sv21110065@student.university.edu.vn"
"21110066","Phan Bảo Sang","sv21110066@student.university.edu.vn"
"21110067","Vũ Thị Tiến","sv21110067@student.university.edu.vn"
"21110068","Võ Thanh Vinh","sv21110068@student.university.edu.vn"
"21110069","Đặng Gia Dũng","sv21110069@student.university.edu.vn"
"21110070","Bùi Xuân Khoa","sv21110070@student.university.edu.vn"
